3.000000,2.250000,2.750000,0.500000,0.250000,0.250000,h0_0,0.027778
2.250000,3.000000,3.000000,0.250000,0.500000,0.500000,h2_2,0.027778
2.250000,3.000000,2.500000,0.750000,0.500000,0.000000,h8_8,0.027778
2.500000,3.000000,2.000000,0.000000,1.000000,0.000000,h9_9,0.027778
15.000000,12.000000,13.500000,0.000000,0.000000,4.500000,h1_1,0.166667
20.000000,15.000000,15.500000,2.000000,6.000000,2.500000,h3_3,0.166667
16.500000,17.000000,10.500000,4.500000,1.000000,1.500000,h6_6,0.166667
12.000000,13.500000,14.250000,3.000000,1.500000,0.750000,h7_7,0.166667
2.750000,2.250000,4.000000,0.250000,0.250000,0.500000,h4_4,0.583333
3.000000,2.000000,2.000000,0.500000,0.000000,0.500000,h5_5,0.583333
